date,visitors_overseas_total,chinese_total,yoy_rate,yoy_diff,usd_jpy,cny_jpy
2023/1/1,1497472,31291,83.28864122,1479706,130.3913636,19.20013465
2023/2/1,1475455,36285,87.25019439,1458736,133.1045,19.46008627
2023/3/1,1817616,75814,26.48923942,1751495,133.6643478,19.39650942
2023/4/1,1949236,108295,12.96821165,1809688,133.4745,19.37899305
2023/5/1,1899176,134510,11.91552303,1752130,137.2043478,19.63134544
2023/6/1,2073441,208573,16.21698082,1953011,141.3790909,19.74572989
2023/7/1,2320694,313328,15.05150161,2176116,141.1057143,19.62800536
2023/8/1,2157190,364228,11.6966722,1987288,144.7804348,19.9731416
2023/9/1,2184442,325645,9.571193519,1977801,147.7666667,20.25265656
2023/10/1,2516623,256371,4.046913041,2017977,149.57,20.47047963
2023/11/1,2440890,258343,1.611697637,1506291,149.7404545,20.73358566
2023/12/1,2734115,312474,0.995538327,1364001,143.9157143,20.15640118
2024/1/1,2688478,416088,0.79534442,1191006,145.9982609,20.36907539
2024/2/1,2788224,459463,0.88973842,1312769,149.6495238,20.80351469
2024/3/1,3081781,452525,0.695507192,1264165,149.8185714,20.80357094
2024/4/1,3043003,533611,0.561126,1093767,153.89,21.26294842
2024/5/1,3040294,545552,0.600849,1141118,155.913913,21.55540362
2024/6/1,3140642,665617,0.514700442,1067201,157.8575,21.7590401
2024/7/1,3292602,776520,0.418800583,971908,157.6904348,21.71593821
2024/8/1,2933381,746010,0.359815779,776191,146.2640909,20.46334192
2024/9/1,2872487,652405,0.314975174,688045,143.0966667,20.2217208
2024/10/1,3312193,582919,0.316126015,795570,149.8573913,21.14387128
2024/11/1,3187175,546339,0.305742987,746285,153.5147619,21.30182476
2024/12/1,3489888,604293,0.276423267,755773,153.9722727,21.14552048
2025/1/1,3781629,980520,0.406605894,1093151,156.5126087,21.44841743
2025/2/1,3258491,722924,0.168661844,470267,151.6055,20.8467198
2025/3/1,3497755,661817,0.134978443,415974,149.057619,20.56171617
2025/4/1,3909128,765189,0.284628375,866125,144.1286364,19.75262048
2025/5/1,3693587,790089,0.214878232,653293,144.7731818,20.06608245
2025/6/1,3377985,798001,0.075571491,237343,144.4880952,20.12163539
2025/7/1,3437118,974564,0.043891123,144516,147.103913,20.50543613
2025/8/1,3428406,1018747,0.16875578,495025,147.4785714,20.56117549
2025/9/1,3267228,775657,0.137421336,394741,147.8190909,20.75007235
2025/10/1,3896524,715804,0.176418162,584331,151.38,21.25958824
2025/11/1,3518195,562708,0.103860001,331020,155.1455,21.83357934
2025/12/1,3617700,330400,0.036623525,127812,155.9113043,22.14083079
